职位,公司,地址,薪酬,标签
JAVA工程师,南京蓝源硕贸易有限公司,南京-栖霞区,6-8千/月,"[[['带薪年假'], ['五险一金'], ['绩效奖金'], ['加班补贴'], ['专业培训'], ['节日福利'], ['餐饮补贴'], ['通讯补贴']], ['南京-栖霞区', '2年经验', '本科', '招2人', '09-03发布']]"
Java开发工程师,深圳银狐游戏网络有限公司,深圳-南山区,0.8-1.3万/月,"[[['五险一金'], ['员工旅游'], ['年终奖金'], ['绩效奖金'], ['弹性工作']], ['深圳-南山区', '无工作经验', '大专', '招1人', '09-03发布']]"
Java开发工程师（南宁）,北京清大科越股份有限公司,南宁,4-6千/月,"[[['五险一金'], ['餐饮补贴'], ['定期体检'], ['通讯补贴'], ['员工旅游'], ['交通补贴'], ['年终奖金']], ['南宁', '1年经验', '本科', '招2人', '09-03发布']]"
Java工程师,四川深蓝果实科技有限公司,成都-高新区,0.8-1万/月,"[[['节日福利'], ['带薪年假'], ['年终奖金'], ['绩效奖金']], ['成都-高新区', '2年经验', '大专', '招3人', '09-03发布']]"
java程序员,北京北科阳光系统工程技术有限公司,长沙-芙蓉区,0.6-1.2万/月,"[[], ['长沙-芙蓉区', '2年经验', '大专', '招5人', '09-03发布']]"
Java开发工程师,浙江思发路网络科技有限公司,杭州-余杭区,6-8千/月,"[[], ['杭州-余杭区', '无工作经验', '招若干人', '09-03发布']]"
JAVA开发工程师,西安恒谦教育科技股份有限公司,异地招聘,0.8-1.5万/月,"[[], ['陕西省', '5-7年经验', '大专', '招2人', '09-03发布']]"
Java高级开发工程师,北京天广汇通科技有限公司成都分公司,成都,1.4-2万/月,"[[['五险一金'], ['补充医疗保险'], ['餐饮补贴'], ['年终奖金'], ['员工旅游'], ['股票期权'], ['定期体检'], ['零食管饱']], ['成都', '无工作经验', '本科', '招2人', '09-03发布']]"
Java开发工程师,青岛闪收付信息技术有限公司,青岛-崂山区,4-8千/月,"[[], ['青岛-崂山区', '1年经验', '本科', '招2人', '09-03发布']]"
JAVA后端工程师,广州合友经济发展有限公司,广州,1-1.5万/月,"[[], ['广州', '3-4年经验', '本科', '招若干人', '09-03发布', '普通话良好']]"
Java开发工程师,上海天会皓闻信息科技有限公司,上海,1.5-2万/月,"[[['五险一金'], ['弹性工作'], ['补充医疗保险'], ['定期体检'], ['员工旅游'], ['年终奖金'], ['股票期权']], ['上海', '3-4年经验', '本科', '招1人', '09-03发布', '普通话']]"
Java开发工程师,沛盾信息科技（上海）有限公司,上海,1.5-2.5万/月,"[[], ['上海', '3-4年经验', '大专', '招若干人', '09-03发布']]"
Java高级开发工程师,北京科蓝软件系统股份有限公司,南京-浦口区,1-1.5万/月,"[[['五险一金']], ['南京-浦口区', '无工作经验', '招1人', '09-03发布']]"
Java高级开发工程师,深圳保宏电子商务综合服务股份有限...,深圳-南山区,1.2-2万/月,"[[['五险一金'], ['餐饮补贴'], ['绩效奖金'], ['年终奖金'], ['员工旅游'], ['免费班车'], ['定期体检']], ['深圳-南山区', '3-4年经验', '招4人', '09-03发布']]"
Java开发工程师,深圳市易通财电子商务有限公司,佛山,0.8-1.2万/月,"[[['五险一金'], ['员工旅游'], ['绩效奖金'], ['年终奖金'], ['补充公积金']], ['佛山', '1年经验', '招1人', '09-03发布']]"
Java开发工程师,深圳市金证科技股份有限公司,深圳,1.2-1.8万/月,"[[['五险一金'], ['免费班车'], ['员工旅游'], ['专业培训'], ['定期体检']], ['深圳', '3-4年经验', '大专', '招2人', '09-03发布', '普通话良好']]"
